Năm sản xuất,Tình trạng,Kiểu dáng,Số Km đã đi,Xuất xứ,Hãng xe,Dẫn động,Số chỗ ngồi,Địa điểm,Động cơ,Hộp số,Giá
2022,1,1484.7441094502153,-0.13445935245037588,1,807.2661742983752,1047.849582172702,7,1261.511450854172,949.9227493917275,1,1050.0
2024,0,1484.7441094502153,-0.5378374098015035,1,2020.74332909784,1047.849582172702,7,1261.511450854172,526.0476960454686,1,2089.0
2007,1,920.8003502626971,0.5132571441296393,1,896.8721076233184,615.8103896103896,5,452.6392708647979,1235.8796526054591,1,295.0
2024,0,1484.7441094502153,-0.5378374098015035,1,2020.74332909784,2591.475859405176,7,1261.511450854172,3372.2614896988907,1,4880.0
2023,0,1484.7441094502153,-0.5378374098015035,1,391.3785310734485,615.8103896103896,7,1224.5943849852645,873.2637809848812,0,449.0
2024,0,920.8003502626971,-0.5378374098015035,0,896.8721076233184,615.8103896103896,5,1224.5943849852645,587.2974836905871,0,433.0
2023,0,339.6466512702078,-0.5378374098015035,1,391.3785310734485,615.8103896103896,5,1224.5943849852645,376.1968810916179,1,519.0
2023,0,920.8003502626971,-0.5378374098015035,0,2020.74332909784,1047.849582172702,5,1261.511450854172,1180.1899814999288,1,2809.0
2023,0,1236.1323138297873,-0.5378374098015035,1,2020.74332909784,1047.849582172702,6,1261.511450854172,1180.1899814999288,1,3414.0
2024,0,1484.7441094502153,-0.5378374098015035,1,546.809869375907,615.8103896103896,7,1261.511450854172,587.2974836905871,1,610.0
2021,1,1484.7441094502153,-0.05378374098015035,0,807.2661742983752,615.8103896103896,5,1224.5943849852645,587.2974836905871,1,515.0
2022,1,1484.7441094502153,-0.2823646401457894,1,896.8721076233184,615.8103896103896,5,1224.5943849852645,847.4949837612952,1,869.0
2018,1,920.8003502626971,0.26891870490075176,0,611.9975786924939,615.8103896103896,5,1261.511450854172,587.2974836905871,1,405.0
2007,1,920.8003502626971,2.0168902867556384,0,896.8721076233184,615.8103896103896,5,1261.511450854172,1235.8796526054591,1,279.0
2017,1,920.8003502626971,0.1075674819603007,0,2020.74332909784,1047.849582172702,5,1224.5943849852645,1180.1899814999288,1,1299.0
2022,1,1484.7441094502153,-0.5373668020679272,0,2020.74332909784,2591.475859405176,5,1224.5943849852645,1180.1899814999288,1,2349.0
2022,1,595.1411174785101,-0.37917537391006,1,633.42521631644,615.8103896103896,5,462.06093190320337,587.2974836905871,1,635.0
2020,1,769.1666666666666,-0.13445935245037588,1,807.2661742983752,1129.0432558139535,5,1224.5943849852645,949.9227493917275,1,955.0
2020,1,1484.7441094502153,0.5132571441296393,1,807.2661742983752,1047.849582172702,7,1224.5943849852645,949.9227493917275,1,920.0
2016,1,769.1666666666666,1.479052876954135,1,807.2661742983752,1047.849582172702,5,1224.5943849852645,859.8680412371134,0,395.0
2021,0,1484.7441094502153,-0.5378374098015035,1,3563.695652173894,2591.475859405176,5,1224.5943849852645,1180.1899814999288,1,5090.0
2015,1,920.8003502626971,-0.5368424105933708,0,538.8395702111893,615.8103896103896,5,1224.5943849852645,1180.1899814999288,1,365.0
2018,1,339.6466512702078,-0.29581057539082695,1,1681.4629156685724,615.8103896103896,5,1261.511450854172,1180.1899814999288,1,1399.0
2015,1,920.8003502626971,1.4924988121991725,0,2020.74332909784,1047.849582172702,5,684.2893518518518,1180.1899814999288,1,575.0
