Năm sản xuất,Tình trạng,Kiểu dáng,Số Km đã đi,Xuất xứ,Hãng xe,Dẫn động,Số chỗ ngồi,Địa điểm,Động cơ,Hộp số,Giá,Cụm số
2024,0,5,-0.5378374098015035,1,18,0,7,17,5,1,1.0865800865800865,2
2020,1,0,0.0690717693537581,1,69,3,5,45,9,1,-0.02886002886002886,2
2019,1,6,-0.06722967622518794,0,46,3,5,17,50,1,0.772005772005772,0
2020,1,5,0.0,0,46,1,5,17,50,1,1.4906204906204905,0
2011,1,4,0.9730554418128803,1,69,2,5,17,45,1,-0.556998556998557,1
2024,0,8,-0.5378374098015035,1,37,2,4,17,25,1,11.479076479076479,0
2018,1,6,-0.24173102383528577,1,46,1,5,45,50,1,0.784992784992785,0
2024,0,5,-0.5378374098015035,1,25,2,7,17,47,1,-0.04329004329004329,0
2015,1,5,0.26891870490075176,1,36,1,5,17,59,1,3.092352092352092,0
2023,0,5,-0.5378374098015035,1,69,1,7,17,62,1,5.909090909090909,0
2019,1,5,-0.13445935245037588,1,48,2,7,48,47,1,-0.22510822510822512,0
2022,1,6,-0.33614838112593975,1,46,3,5,17,50,1,1.6955266955266954,0
2017,1,6,0.4033780573511277,0,46,3,5,17,50,1,0.7417027417027418,0
2023,0,0,-0.5378374098015035,1,48,3,5,17,9,1,-0.0735930735930736,2
2020,1,5,0.08067561147022553,1,37,1,5,17,50,1,2.9220779220779223,0
2019,1,5,0.026891870490075177,0,46,1,5,17,50,1,1.0303030303030303,0
2023,0,6,-0.5378374098015035,0,2,3,5,17,50,1,1.3347763347763348,0
2017,1,0,1.075674819603007,1,44,0,5,17,7,0,-0.3708513708513709,2
2020,1,6,-0.13445935245037588,1,37,2,5,17,54,1,2.041847041847042,0
2022,1,4,-0.3764861868610525,0,70,2,5,17,46,1,-0.45454545454545453,1
2023,1,8,-0.4840536688213532,0,27,2,7,45,47,1,0.3795093795093795,0
2022,1,5,-0.4033780573511277,1,46,1,7,17,59,1,5.402597402597403,0
2024,0,5,-0.5378374098015035,0,69,2,7,45,47,1,-0.02886002886002886,1
2023,0,6,-0.5378374098015035,1,37,2,5,17,54,1,2.8354978354978355,0
2024,0,5,-0.5378374098015035,1,33,0,5,45,50,1,4.953823953823954,0
2008,1,2,0.26891870490075176,1,5,1,4,45,81,1,1.7676767676767677,0
2015,1,5,0.5378374098015035,1,6,1,7,45,82,1,2.8932178932178934,0
2024,0,5,-0.5378374098015035,1,48,3,7,45,9,1,0.6046176046176046,2
2022,1,5,-0.14790528769541347,1,18,0,7,17,5,1,1.0533910533910533,2
2022,1,6,-0.16135122294045107,0,46,3,5,17,47,1,1.5064935064935066,0
2024,0,5,-0.5378374098015035,1,37,1,7,17,62,1,11.32034632034632,0
2021,1,6,-0.13445935245037588,1,37,2,5,17,54,1,2.04040404040404,0
2014,1,6,0.5132571441296393,0,46,3,5,45,50,1,0.03318903318903319,0
2024,0,5,-0.5378374098015035,1,69,1,7,17,62,1,5.2395382395382395,0
2016,1,0,0.9546614023976688,1,18,0,5,17,15,1,-0.1443001443001443,2
2020,1,5,0.5132571441296393,1,69,1,7,17,33,1,4.24963924963925,0
2023,0,6,-0.5378374098015035,0,44,2,5,22,50,1,0.23088023088023088,0
2024,0,5,-0.5378374098015035,0,69,2,7,1,47,1,-0.024531024531024532,1
2022,0,6,-0.5378374098015035,1,1,2,5,45,50,1,2.062049062049062,0
2023,0,5,-0.5378374098015035,0,48,2,7,17,47,0,-0.18759018759018758,0
2012,1,5,1.075674819603007,1,36,0,5,17,50,1,-0.15151515151515152,0
2015,1,6,0.5132571441296393,0,46,3,5,17,50,1,-0.08658008658008658,0
2015,1,6,0.9412154671526313,0,25,2,5,17,47,1,-0.44733044733044736,0
2016,1,6,-0.5377567341900333,0,44,2,5,17,47,1,-0.4574314574314574,0
2022,0,6,-0.5378374098015035,0,2,3,5,17,50,1,2.126984126984127,0
2018,1,5,0.4033780573511277,1,18,0,7,17,5,1,0.2958152958152958,2
2022,1,6,-0.26891870490075176,0,46,3,5,17,50,1,1.9393939393939394,0
2010,1,6,-0.5377298423195432,0,46,3,5,17,49,1,-0.3968253968253968,0
2024,0,6,-0.5378374098015035,1,46,1,5,45,59,1,7.076479076479076,0
2022,1,4,-0.3495943163709773,0,44,2,5,17,47,1,0.0,0
2023,1,6,0.5132571441296393,0,34,2,5,17,50,1,-0.02886002886002886,0
2009,1,6,0.17479715818548866,1,43,3,4,17,81,1,11.896103896103897,0
2011,1,6,0.5132571441296393,1,37,1,5,17,73,1,1.1904761904761905,0
2019,1,6,0.013445935245037588,0,46,3,5,45,50,1,0.8138528138528138,0
2022,1,3,-0.26891870490075176,0,51,2,5,17,48,1,0.22366522366522368,0
2022,1,6,-0.16135122294045107,0,70,3,5,17,50,1,-0.021645021645021644,1
2012,1,5,1.075674819603007,0,18,3,7,17,10,0,-0.5772005772005772,2
2021,1,5,-0.14790528769541347,1,37,1,5,17,63,1,4.177489177489178,0
2019,1,6,0.5378374098015035,0,46,3,5,45,50,1,0.7705627705627706,0
2022,1,6,-0.29581057539082695,0,46,3,5,45,50,1,1.6363636363636365,0
2022,1,5,-0.3495943163709773,0,46,1,5,45,50,1,2.1125541125541125,0
2013,1,5,0.2151349639206014,0,46,1,5,45,50,1,-0.10966810966810966,0
2015,1,5,0.1075674819603007,1,52,1,5,45,50,1,1.41991341991342,0
2019,1,6,0.09412154671526313,0,46,3,5,45,50,1,0.8427128427128427,0
2021,1,6,-0.3764861868610525,0,46,3,5,45,50,1,1.6363636363636365,0
2020,1,6,-0.13445935245037588,0,34,2,5,17,46,0,-0.4834054834054834,0
2022,1,6,-0.32270244588090213,0,2,3,5,45,50,1,1.2467532467532467,0
2016,1,5,0.1075674819603007,1,52,1,5,45,50,1,1.391053391053391,0
2017,1,0,0.7395264384770674,1,18,3,5,17,7,0,-0.35353535353535354,2
2023,0,5,-0.5378374098015035,1,46,1,4,17,59,1,10.626262626262626,0
2016,1,4,0.6185130212717291,0,18,2,5,17,47,1,-0.3463203463203463,0
2023,0,5,-0.5378374098015035,0,46,1,5,17,50,1,2.9206349206349205,0
2019,1,6,-0.1210134172053383,0,46,3,5,45,50,1,0.8427128427128427,0
2023,0,6,-0.5378374098015035,1,46,1,5,17,59,1,9.875901875901876,0
2024,0,5,-0.5378374098015035,1,69,1,7,17,62,1,5.2395382395382395,0
2023,0,5,-0.5378374098015035,0,46,1,5,17,50,1,2.173160173160173,0
1993,1,6,0.5132571441296393,1,69,2,5,17,50,0,-0.8513708513708513,1
2024,0,5,-0.5378374098015035,1,69,1,7,17,62,1,5.255411255411255,0
2024,0,5,-0.5378374098015035,0,27,1,7,17,7,1,0.8152958152958153,2
2023,0,6,-0.5378374098015035,0,27,2,5,17,46,1,-0.2453102453102453,0
2023,0,5,-0.5378374098015035,1,46,1,7,17,59,1,6.124098124098124,0
2022,1,6,-0.05378374098015035,0,27,2,5,17,46,0,-0.41414141414141414,0
2024,0,5,-0.5378374098015035,0,27,1,7,17,7,1,0.8152958152958153,2
2024,0,5,-0.5378374098015035,0,27,1,7,17,54,1,0.6955266955266955,0
2024,0,5,-0.5378374098015035,0,27,1,7,17,54,1,0.6955266955266955,0
2023,1,7,-0.2420268344106766,0,66,3,3,45,0,0,-0.2958152958152958,2
2022,0,6,-0.5378374098015035,0,2,3,5,17,50,1,2.126984126984127,0
2020,1,6,0.5132571441296393,0,46,3,5,17,50,1,0.6825396825396826,0
2018,1,5,0.32270244588090213,0,46,3,5,45,50,1,0.4675324675324675,0
2020,1,5,0.09412154671526313,0,46,1,5,45,50,1,1.593073593073593,0
2020,1,5,0.20168902867556385,0,46,1,5,17,50,1,1.4588744588744589,0
2013,1,5,0.3899321221060901,0,25,2,5,17,50,1,-0.2741702741702742,0
2021,1,5,-0.06722967622518794,0,46,3,5,17,50,1,1.173160173160173,0
2020,1,5,0.1075674819603007,1,18,0,7,17,5,1,0.46176046176046176,2
2020,1,5,0.26891870490075176,1,18,3,7,17,5,1,0.30735930735930733,2
2018,1,8,0.4033780573511277,0,34,2,7,17,7,1,0.26406926406926406,2
2017,1,5,0.3764861868610525,1,36,1,7,45,59,1,1.852813852813853,0
2020,1,5,0.06722967622518794,0,44,2,5,17,50,1,0.11544011544011544,0
2021,1,5,-0.06722967622518794,1,18,3,7,17,5,1,0.4083694083694084,2
2019,1,4,0.13445935245037588,0,18,2,5,17,47,1,-0.20202020202020202,0
2024,0,5,-0.5378374098015035,1,33,0,5,45,50,1,4.953823953823954,0
2019,1,6,0.5132571441296393,0,46,3,5,45,50,1,0.35209235209235207,0
2020,1,5,0.0,0,46,1,5,17,50,1,1.0606060606060606,0
2018,1,6,0.20168902867556385,0,44,2,5,17,47,1,-0.2842712842712843,0
2017,1,5,-0.13445935245037588,0,18,2,5,17,47,1,-0.37806637806637805,0
2015,1,5,1.210134172053383,0,25,2,5,17,50,1,-0.2741702741702742,0
2011,1,6,0.4033780573511277,0,25,2,5,17,49,1,-0.4906204906204906,0
2023,0,6,-0.5378374098015035,1,37,2,5,17,54,1,2.8354978354978355,0
2013,1,4,0.8067561147022554,0,34,2,5,17,44,1,-0.5930735930735931,0
2018,1,5,0.2823646401457894,0,27,1,7,17,37,1,0.18037518037518038,0
2011,1,6,0.6185130212717291,0,46,3,5,48,49,1,-0.40404040404040403,0
2017,1,5,-0.4033780573511277,1,46,1,7,17,59,1,2.2005772005772006,0
2023,0,6,-0.5378374098015035,1,25,2,5,1,47,1,0.31746031746031744,0
2024,0,8,-0.5378374098015035,0,34,2,8,45,7,1,0.7561327561327561,2
2024,0,5,-0.5378374098015035,1,69,2,5,17,30,1,0.40404040404040403,1
2019,1,5,0.29581057539082695,0,46,1,5,17,50,1,0.9725829725829725,0
2016,1,3,0.9412154671526313,0,69,3,8,17,50,0,-0.43722943722943725,1
2024,0,3,-0.5378374098015035,1,41,2,5,46,47,1,-0.2453102453102453,0
2021,1,5,-0.13445935245037588,1,37,1,5,17,50,1,3.2106782106782106,0
2024,0,4,-0.5378374098015035,0,27,2,5,13,44,1,-0.33766233766233766,0
2019,1,5,0.8067561147022554,1,48,3,7,17,9,0,-0.01443001443001443,2
2012,1,6,1.075674819603007,1,37,1,5,17,73,1,1.0606060606060606,0
2024,0,5,-0.5378374098015035,0,27,1,7,45,54,1,0.6796536796536796,0
2023,0,5,-0.5378374098015035,1,25,2,7,17,47,1,-0.06493506493506493,0
2022,1,5,-0.33614838112593975,0,46,1,5,17,50,1,2.04040404040404,0
2021,1,5,-0.4033780573511277,1,46,1,7,17,59,1,5.402597402597403,0
2024,0,6,-0.5378374098015035,0,27,2,5,45,48,1,0.14862914862914864,0
2020,1,5,-0.26891870490075176,1,36,1,5,17,50,1,2.0822510822510822,0
2023,0,5,-0.5378374098015035,0,2,3,5,17,50,1,1.572871572871573,0
2024,0,4,-0.5378374098015035,1,69,2,5,45,43,1,-0.37518037518037517,1
2019,1,6,-0.2823646401457894,0,46,3,5,17,50,1,0.7287157287157288,0
2007,1,6,0.5132571441296393,1,46,3,5,21,78,1,-0.15151515151515152,0
2019,1,5,0.06722967622518794,1,69,0,7,17,56,1,2.012987012987013,0
2014,1,3,-0.33614838112593975,1,58,2,5,21,50,1,-0.5266955266955267,0
2014,1,5,-0.3899321221060901,1,69,0,7,17,56,1,0.5988455988455988,0
2022,1,4,-0.44371586308624045,0,27,2,5,17,44,1,-0.36075036075036077,0
2015,1,5,0.4033780573511277,1,52,1,5,17,50,1,1.3347763347763348,0
2010,1,6,-0.32270244588090213,0,46,3,5,21,49,1,-0.5266955266955267,0
2010,1,4,0.5132571441296393,1,11,2,5,21,41,1,-0.6926406926406926,0
2008,1,6,-0.33614838112593975,0,69,2,5,21,49,1,-0.5266955266955267,1
2021,1,6,-0.013445935245037588,0,34,2,5,17,48,1,-0.16594516594516595,0
2021,1,5,-0.26891870490075176,1,69,2,5,21,30,1,0.23809523809523808,1
2023,0,5,-0.5378374098015035,0,2,3,5,17,50,1,1.572871572871573,0
